date,review,rating
2025-12-24,ok,5
2025-12-24,very nice 👍,4
2025-12-24,in my first order the delivery will late,1
2025-12-24,nice,5
2025-12-24,👍,5
2025-12-24,"when i tried to cancel my order immediately , I realized that I wouldn't get delivery on the time I had, they didn't let me cancel for a long time , the chat was continuously going on and finally when they cancelled they didn't refund saying that bcz meal is prepare u can't get refund, they made my day worsen. also I hate the help section wala part , they give no help at all",1
2025-12-24,good app 😱😱,5
2025-12-24,nice,5
2025-12-24,good,5
2025-12-24,good,4
2025-12-24,very nice aplication,5
2025-12-24,deliver guy not ready to deliver,1
2025-12-24,good,5
2025-12-24,"iam unable to log in; it shows an error about too many login attempts with my old number. What is this? I don't understand. You are setting rules for number orders? It's my wish to use any of my family members' numbers. What's wrong with that? I just uninstalled the app. I have no such issues with Zomato.""",1
2025-12-24,it's good,5
2025-12-24,to late,1
2025-12-24,delivery in time,5
2025-12-24,U should provide an option to login via email also for otp. Can't just rely on mobile networks. Pls upgrade.,2
2025-12-24,Very good 👍👍👍👍,5
2025-12-24,very nice 🙂,5
2025-12-24,🤬,1
2025-12-24,best service ever,3
2025-12-24,good,5
2025-12-24,nice,5
2025-12-24,good,5
2025-12-24,worst app....like kojja....app don't use,1
2025-12-24,good fast delivery,5
2025-12-24,wost experiance,1
2025-12-24,it is becoming one of the worst app to use... no proper customer help.. 2 years earlier the delivery was given to anyone else and no solution till date. today I was charged full bill cancellation for an order which was placed by mistake.. and it was cancelled immediately which ensures no loss to the restaurant or delivery person .. in no secs the order was cancelled.. when I seek help ..they do not have any support.. and that too full amount cancellation charge .. it's completely unfair.,1
2025-12-24,good 👍😊,5
2025-12-24,good,5
2025-12-24,unable to select location,1
2025-12-24,they are scamming people nowadays. Don't download it they will take your money and will not deliver your things and then then tell them they are regretting to inform you they can't refund your money like they think we have infinite money or something I will say you can use any other platform but don't use this one they are just scamming people.,1
2025-12-24,Worst experience in christmas deals 🥴😤,1
2025-12-24,good,5
2025-12-24,nice service,5
2025-12-24,Hai swiggy hello swiggy I loved your offers,5
2025-12-24,very good 😊,5
2025-12-24,nice,5
2025-12-24,very expensive 🫠,1
2025-12-24,good 👍,5
2025-12-24,pathetic services,1
2025-12-24,good time delivery,3
2025-12-24,best of swiggy,5
2025-12-24,they should take cod,5
2025-12-24,❤❤❤,2
2025-12-24,food were delicious and quality were best,5
2025-12-24,good,4
2025-12-24,good quality,5
2025-12-24,excellent,5
2025-12-24,good 👍,5
2025-12-24,good,5
2025-12-24,good,5
2025-12-24,"very disgusting app, gave a Christmas offer for 500rs dinout cash and we were very excited to use it.. but they didn't state that only 10% can be used at a time. very disgusting, dustbin, dirty app",1
2025-12-24,"poor customer support, also successfully uninstalled",1
2025-12-24,good,4
2025-12-24,nice 🙂,3
2025-12-24,Delicious 😋,5
2025-12-24,good,4
2025-12-24,good 👍,4
2025-12-24,payment is done but food is not delivered it's non veg burger i order veg burger,1
2025-12-24,good good proding,5
2025-12-24,good,5
2025-12-24,very bad support service is provided here ..they give delayed response and refuse to take any action without understanding customer satisfaction. Even after complaining several times they take no action.,1
2025-12-24,good,3
2025-12-24,best,5
2025-12-24,super,5
2025-12-24,I love this app,5
2025-12-24,"Very poor customer service. I mistakenly entered an incorrect address and cancelled the order within 2 minutes, before the food was prepared. Still, my refund was not processed. There was no proper support from customer care.",1
2025-12-24,the entire app is scam,1
2025-12-24,good,5
2025-12-24,good every thing is soooooo good,5
2025-12-24,good,1
2025-12-24,overall good,5
2025-12-24,very useful we love it,5
2025-12-24,good,1
2025-12-24,ok,4
2025-12-24,good delivery,5
2025-12-24,nice food,5
2025-12-24,good,5
2025-12-24,great,5
2025-12-24,it's niceeeee,5
2025-12-24,good,5
2025-12-24,"order delayed for 1hr and still waiting, delivery agent not answering the call and support cancelled the order and the new order is also delayed for 30 mins and still waiting for the order. what a careless service. zomato is better than Swiggy I feel now. Also no compensation provided for this very very careless response.",1
2025-12-24,"horrible brand, horrible staff, horrible experience.. 1st they show you delivery in 40 minutes then do not deliver for 75 minutes and then you can't connect to their customer service people and neither can you cancel without losing your money. Bunch of thugs really. uninstalled it for good this time. Use Zomato, way better",1
2025-12-24,nice app,5
2025-12-24,amazing 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,5
2025-12-24,good,5
2025-12-24,good,5
2025-12-24,super,5
2025-12-24,good 😊,4
2025-12-24,didn't knew Swiggy could scam people in the new christmas update.,1
2025-12-24,theek hai easy hai,4
2025-12-24,super,5
2025-12-24,bakwas address bhi save nhi hota ismein. user friendly nhi hai.,1
2025-12-24,good,5
2025-12-24,excellent,5
2025-12-24,good timing,3
2025-12-24,please dont order drom this app they are just fraud never order on time and even worst staff and customer care.🙌🙌,1
2025-12-24,👍,5
2025-12-24,super app,4
2025-12-24,"more than half of the time COD isn't available, useless",1
2025-12-24,super app bhai,5
2025-12-24,good,5
2025-12-24,nice and good .,5
2025-12-24,good,5
2025-12-24,High price and not so good app,1
2025-12-24,achha hai app,5
2025-12-24,I have got Swiggy application for my software engineering exam so now I have started hating this app also .. Swiggy I am not the reason for this hate all blame should be on the subject thank youu 🙏,1
2025-12-24,good in price and quality food was very tasty 😊,5
2025-12-24,super,5
2025-12-24,very nice wotk,5
2025-12-24,njan order cheythath one egg curry with extra one boiled egg aayirunnu but eanikk one egg mathrame kittiyullu but ullath parayalo delivery cheytha chettan aalu poliyanu paranja samayath eathichu thannu,1
2025-12-24,very fast. Thank you 🙏,5
2025-12-24,not having Cash on delivery it's too bad,1
2025-12-24,Good,5
2025-12-24,The best place for home shopping,5
2025-12-24,good,5
2025-12-24,Most of the time any one Instamart item would be missing at the time of delivery... delays every time at food delivery even if you order one hour before. Once in a while you have to check if your goods are on the way.,1
2025-12-24,"Ads on screen. It's pretty annoying to see adds on food delivery app especially when they pop up with a small window playing video... There is a whole 20-50% price difference between restaurants and in swiggy price...on top of it they have audacity for packaging charges, platform fee.",1
2025-12-24,it's good,5
2025-12-24,good service,5
2025-12-24,nice,5
2025-12-24,very nice,5
2025-12-24,nice,5
2025-12-24,good service,5
2025-12-24,on time and good prices,4
2025-12-24,NYC exllent,5
2025-12-24,"Very worst experience from the app side, Deduct the full amount due to issues from swiggys side",1
2025-12-24,nice product,5
2025-12-24,customer care service is really poor,1
2025-12-24,good food,5
2025-12-24,very good fast home delivery system with care and respect towards customers,5
2025-12-24,best well good,5
2025-12-24,best,5
2025-12-24,best app for all daily needs,5
2025-12-24,what type of support executive do you hire? are they even class 8 passouts?... Pathetic app with pathetic service.. it's easier talking to a cat than to your support executives who just keeps sending apology prewritten messages.,1
2025-12-24,good👍,5
2025-12-24,very good service,5
2025-12-24,nice 👍🏻,5
2025-12-24,good app,4
2025-12-24,wow delivering at 2:43 AM 😱,5
